ユーザー名,パスワード,説明
admin,admin,このユーザーはポータルのすべての権限を持ち、ポータルの管理者設定にアクセスできます。
demo,demo,このユーザーはユーザーの不在を管理する権限を持ちます。
guest,guest,ポータルのデフォルトの標準的なユーザーです。
